Ganancia,Diversidad
-6.138454520501498E8,-0.8933479397277196,
-5.868283916695497E8,-0.9093767642704876,
-6.173922248006498E8,-0.8891807773543623,
-5.861584682050498E8,-0.9099818547727647,
-5.885866122858498E8,-0.9082735732502863,
-5.882264895475497E8,-0.9087714792026567,
-5.384755151358497E8,-0.9360773772087195,
-4.876061540142498E8,-0.9573160913677735,
-5.210925606171498E8,-0.9442549666082587,
-5.921600867010498E8,-0.9047047112600534,
-5.621959942854499E8,-0.9235755009575399,
-5.171625539549498E8,-0.9453511367429471,
-5.973129383730497E8,-0.9018042653732257,
-5.761071906670498E8,-0.9156399049785983,
-5.898422323050498E8,-0.9081892124145736,
-6.057300681650497E8,-0.8967760999658184,
-5.869708695283498E8,-0.9088558400383694,
-5.3021363634394974E8,-0.9388774286647935,
-6.525623696869998E8,-0.8607011147594538,
-5.977474909250499E8,-0.9015255291272588,
-5.991195525870497E8,-0.9015255291272587,
-5.736584751695498E8,-0.917106193080479,
-5.472294045019499E8,-0.9306998392652542,
-5.163547978265497E8,-0.9455326214694086,
-5.033354919389499E8,-0.9512879231947475,
-4.981196156832498E8,-0.9529962047172258,
-4.997255735072498E8,-0.9524139379291428,
-5.779322098695498E8,-0.915313550722288,
-5.530923538539499E8,-0.9294509448533754,
-4.997255735072498E8,-0.9524139379291428,
-4.663584862474499E8,-0.9638581628874048,
-5.0207222155794984E8,-0.9518701899828306,
-5.2074987317414975E8,-0.944752872560629,
-5.437543958812499E8,-0.9321826328679719,
-5.345858799994498E8,-0.9382951618767105,
-5.194942531549498E8,-0.9448372333963417,
-5.045911119581498E8,-0.9512035623590348,
-6.205292906101499E8,-0.8883197743203124,
-5.307677210152497E8,-0.9388160861088285,
-4.981196156832498E8,-0.9529962047172258,
-5.741758146350498E8,-0.916523926292396,
-6.133664000421498E8,-0.8942565607721129,
-5.691961901370498E8,-0.9187647292401347,
-5.0207222155794984E8,-0.9518701899828306,
-5.2235583099814975E8,-0.944170605772546,
-5.688595269695499E8,-0.91889883543867,
-6.059013046730498E8,-0.8963156395109729,
-4.9686399566404986E8,-0.9530805655529385,
-4.7928867974584985E8,-0.9591920104112415,
-5.033354919389499E8,-0.9512879231947475,
-5.673489436221498E8,-0.9221819764982296,
-6.470810451672997E8,-0.8675294153163603,
-6.059013046730498E8,-0.8963156395109729,
-6.241397317281498E8,-0.8868058682080883,
-5.691961901370498E8,-0.9187647292401347,
-4.780254093648498E8,-0.9597742771993244,
-5.045911119581498E8,-0.9512035623590348,
